city,pool,garage,sqft,bed,bath,price
Santa Monica,yes,yes,1445,2,1,227410
Long Beach,no,yes,2245,5,4,487484
Santa Monica,no,no,2500,3,2,818069
Westwood,no,no,1688,3,2,530263
Santa Monica,no,yes,1613,2,1,474498
Westwood,no,yes,2315,4,3,543654
Long Beach,no,no,1899,3,2,715615
Santa Monica,yes,no,1968,2,1,941113
Long Beach,no,no,1658,3,2,372349
Long Beach,no,yes,1752,2,1,651099
Long Beach,yes,yes,2020,3,2,732336
Santa Monica,no,no,1685,1,1,848330
Long Beach,yes,yes,2303,1,1,626703
Westwood,no,yes,1808,4,3,355502
Long Beach,yes,yes,1645,4,3,888403
Santa Monica,yes,yes,1677,5,4,822726
Santa Monica,no,yes,2014,1,1,544846
Long Beach,no,yes,1928,4,3,517067
Long Beach,no,yes,2293,2,1,794875
Westwood,no,yes,2401,5,4,815501
Long Beach,no,yes,1526,2,1,600800
Westwood,no,yes,2237,4,3,529920
Santa Monica,no,yes,2302,3,2,968387
Santa Monica,no,no,2583,7,6,851831
Santa Monica,no,yes,2020,1,1,801992
Long Beach,no,yes,1921,3,2,685759
Long Beach,yes,yes,2528,3,2,695905
Santa Monica,no,yes,1710,3,2,528302
Westwood,no,no,1784,2,1,589949
Santa Monica,no,no,1946,2,1,233914
Long Beach,no,yes,1658,1,1,835278
Long Beach,no,no,2073,2,1,793113
Long Beach,no,no,2017,2,1,470380
Long Beach,no,no,2446,2,1,470532
Long Beach,no,no,1639,3,2,438897
Long Beach,no,yes,1562,4,3,221651
Santa Monica,no,yes,1927,3,2,747357
Westwood,no,yes,1670,5,4,202707
Long Beach,no,yes,1752,2,1,651099
Santa Monica,no,no,2305,5,4,976141
Long Beach,yes,yes,2184,5,4,544450
Long Beach,no,yes,1898,2,1,258507
Long Beach,yes,yes,1950,1,1,580253
Westwood,no,no,1572,2,1,683170
Long Beach,no,no,2681,2,1,965326
Santa Monica,no,yes,2384,4,3,716953
Westwood,no,yes,2175,6,5,633208
Long Beach,no,yes,1592,1,1,388335
Westwood,no,yes,1632,5,4,551668
Long Beach,no,yes,1738,1,1,520055
Santa Monica,no,yes,1962,2,1,745424
Santa Monica,no,yes,2327,2,1,915602
Long Beach,no,no,2625,1,1,462934
Long Beach,no,yes,1498,4,3,490398
Westwood,no,yes,1692,3,2,303907
Long Beach,yes,yes,2262,4,3,778193
Santa Monica,no,yes,2191,3,2,791761
Long Beach,no,yes,2091,3,2,486531
Long Beach,no,no,2438,2,1,615181
Santa Monica,no,yes,1700,2,1,915659
Westwood,no,yes,2517,4,3,968477
Westwood,no,no,1688,2,1,748310
Santa Monica,no,yes,2692,2,1,950077
Santa Monica,no,yes,2165,3,2,887003
Long Beach,no,yes,2283,4,3,845480
Long Beach,yes,yes,1800,1,1,518461
Long Beach,no,yes,1921,3,2,616263
Westwood,yes,yes,1589,2,1,199347
Santa Monica,no,yes,2415,5,4,730366
Westwood,yes,no,2439,7,6,778347
Westwood,no,no,1506,2,1,131404
Long Beach,yes,yes,2213,3,2,571331
Santa Monica,no,yes,1578,3,2,391360
Long Beach,yes,yes,2184,5,4,544450
Santa Monica,no,yes,2340,4,3,910779
Long Beach,no,yes,2221,3,2,533223
Westwood,yes,yes,2169,4,3,853055
Long Beach,no,no,1610,2,1,973889
Long Beach,no,yes,2139,3,2,444623
Westwood,yes,yes,2774,3,2,828263
Santa Monica,no,yes,2152,3,2,471657
Santa Monica,no,no,2147,4,3,857145
Long Beach,no,yes,1901,1,1,749921
Long Beach,no,yes,1630,2,1,1057841
Long Beach,yes,no,2354,4,3,369426
Long Beach,no,no,2424,3,2,604496
Long Beach,no,yes,1734,2,1,280850
Santa Monica,no,yes,2692,2,1,950077
Long Beach,yes,no,2516,3,2,626319
Long Beach,no,yes,1902,3,2,534336
Long Beach,no,yes,2328,3,2,250246
Santa Monica,yes,yes,1944,1,1,710411
Westwood,no,no,1459,2,1,561802
Long Beach,no,no,2294,6,5,775719
Long Beach,yes,no,1656,3,2,232727
Westwood,no,yes,2082,2,1,226661
Long Beach,yes,yes,2300,3,2,594196
Santa Monica,no,no,1582,3,2,608020
Westwood,no,yes,1798,4,3,398761
Westwood,no,no,1939,5,4,452174
Westwood,no,no,2367,3,2,573221
Westwood,yes,yes,1223,2,1,423859
Santa Monica,no,yes,2327,3,2,469636
Long Beach,no,yes,1905,2,1,662268
Westwood,no,no,1554,2,1,318998
Westwood,no,no,1856,3,2,188185
Westwood,no,yes,1388,2,1,403620
Long Beach,no,no,2691,1,1,589064
Santa Monica,no,yes,1566,2,1,591323
Long Beach,yes,yes,2630,5,4,640183
Westwood,no,no,2136,2,1,349656
Long Beach,yes,yes,2294,2,1,432086
Long Beach,no,yes,2311,2,1,605437
Westwood,yes,yes,2635,2,1,904475
Long Beach,yes,yes,1790,1,1,530313
Long Beach,no,yes,1472,1,1,390224
Santa Monica,no,yes,2652,3,2,1067919
Long Beach,no,yes,2418,7,6,611693
Long Beach,no,yes,2727,5,4,975217
Long Beach,no,no,1517,2,1,643638
Long Beach,no,no,1959,2,1,723637
Westwood,no,no,1773,3,2,495636
Long Beach,no,yes,2228,1,1,569896
Santa Monica,yes,no,2336,2,1,657430
Long Beach,no,yes,2149,3,2,802891
Long Beach,no,yes,2770,3,2,649589
Long Beach,no,no,1682,2,1,658777
Long Beach,no,no,2063,2,1,290161
Long Beach,yes,yes,2293,2,1,396460
Santa Monica,no,yes,2010,4,3,407852
Long Beach,yes,yes,2539,6,5,319297
Long Beach,no,yes,1743,1,1,639525
Santa Monica,no,no,2188,3,2,772207
Long Beach,no,yes,1957,2,1,502969
Santa Monica,no,yes,1361,2,1,569014
Long Beach,no,yes,2206,3,2,579022
Westwood,no,yes,1887,4,3,369543
Westwood,no,yes,2212,2,1,772137
Westwood,no,yes,1798,3,2,703080
Long Beach,no,no,2481,3,2,846658
Long Beach,no,yes,1510,3,2,297774
Long Beach,yes,yes,2670,4,3,486161
Long Beach,no,yes,2424,2,1,741272
Westwood,no,yes,2340,4,3,570875
Westwood,no,no,2271,2,1,932223
Long Beach,no,yes,2271,1,1,590595
Long Beach,no,no,2140,3,2,580752
Westwood,no,yes,2354,3,2,736578
Long Beach,no,yes,1810,5,4,186091
Long Beach,no,yes,2295,4,3,499035
Westwood,no,yes,2480,3,2,487259
Westwood,no,yes,1641,4,3,587658
Long Beach,no,yes,2024,2,1,338995
Westwood,no,yes,2187,3,2,1119111
Westwood,no,yes,2066,3,2,679582
Santa Monica,yes,yes,2274,3,2,649274
Santa Monica,yes,no,2542,2,1,962822
Santa Monica,no,yes,2149,2,1,591569
Santa Monica,no,no,1876,3,2,647124
Westwood,no,no,1983,3,2,216097
Westwood,no,yes,1986,2,1,1011982
Long Beach,no,yes,2534,6,5,853622
Westwood,no,no,986,2,1,462975
Westwood,no,yes,1827,4,3,809481
Westwood,no,no,2327,4,3,279338
Long Beach,no,yes,2379,3,2,738854
Long Beach,no,yes,1696,3,2,777627
Westwood,no,yes,1787,2,1,450788
Long Beach,no,yes,1936,2,1,443307
Long Beach,yes,no,2887,6,5,1076187
Westwood,yes,yes,1801,4,3,218958
Long Beach,yes,yes,1702,1,1,811379
Westwood,no,no,1874,3,2,574608
Westwood,yes,yes,1986,1,1,865625
Long Beach,yes,no,2581,2,1,396791
Westwood,no,yes,1950,3,2,697651
Long Beach,no,yes,2338,3,2,578079
Santa Monica,no,yes,1945,2,1,704938
Santa Monica,no,yes,1785,2,1,492918
Westwood,no,no,1858,4,3,428204
Long Beach,no,yes,1685,3,2,517917
Long Beach,no,yes,1983,2,1,438328
Santa Monica,yes,yes,2212,2,1,865009
Long Beach,yes,yes,2670,4,3,486161
Westwood,no,yes,1638,2,1,307638
Santa Monica,no,no,2681,1,1,867512
Long Beach,no,yes,2750,7,6,845665
Long Beach,yes,yes,1954,3,2,855746
Westwood,yes,no,2195,3,2,554701
Long Beach,no,yes,1996,2,1,255617
Long Beach,yes,yes,1596,2,1,402444
Westwood,no,yes,2041,6,5,914647
Santa Monica,no,yes,2162,3,2,476401
Santa Monica,no,yes,1418,4,3,796912
Santa Monica,yes,yes,2114,3,2,906326
Santa Monica,no,no,1382,2,1,578457
Long Beach,no,yes,1994,5,4,249119
Santa Monica,no,yes,2059,3,2,387812
Long Beach,no,no,1670,4,3,191223
Santa Monica,no,no,2436,3,2,742787
Santa Monica,yes,no,2101,3,2,896206
Santa Monica,yes,yes,2323,4,3,984198
Westwood,no,yes,2294,3,2,702596
Long Beach,no,no,1620,1,1,287258
Santa Monica,yes,no,1898,2,1,636255
Long Beach,no,no,2374,4,3,526097
Westwood,no,yes,1290,1,1,301946
Long Beach,no,yes,1470,3,2,564697
Westwood,yes,no,2482,1,1,852197
Long Beach,no,no,2113,4,3,498695
Westwood,no,yes,1677,3,2,418436
Long Beach,no,yes,1838,1,1,578860
Santa Monica,no,yes,2005,3,2,350349
Santa Monica,no,yes,1236,3,2,506453
Long Beach,no,yes,2325,4,3,430668
Long Beach,yes,yes,2120,3,2,435721
Long Beach,no,no,2582,5,4,638346
Long Beach,yes,no,1546,3,2,219278
Santa Monica,no,yes,1847,3,2,550113
Santa Monica,no,yes,2383,3,2,896179
Long Beach,no,no,2131,2,1,154229
Westwood,no,yes,1677,2,1,530638
Westwood,no,yes,1912,3,2,487091
Santa Monica,yes,no,1819,2,1,528201
Westwood,no,yes,1748,1,1,804473
Long Beach,no,no,1935,3,2,481304
Westwood,no,yes,1862,1,1,387562
Long Beach,no,yes,1592,2,1,335529
Long Beach,yes,yes,1492,1,1,408492
Long Beach,yes,yes,1911,4,3,344258
Long Beach,no,no,1804,5,4,476732
Long Beach,yes,yes,2277,1,1,531236
Santa Monica,no,yes,1797,5,4,793342
Long Beach,no,yes,1840,2,1,362234
Long Beach,no,yes,1797,4,3,564857
Westwood,no,yes,2341,4,3,1026626
Long Beach,yes,no,2426,2,1,693648
Long Beach,no,yes,1773,4,3,372382
Santa Monica,no,yes,1292,2,1,599817
Santa Monica,no,yes,1989,3,2,574705
Westwood,no,yes,1852,1,1,410710
Long Beach,no,yes,1895,2,1,912814
Santa Monica,no,yes,2222,2,1,864185
Westwood,yes,yes,1797,5,4,491693
Westwood,no,yes,2161,4,3,532318
Long Beach,yes,yes,1992,3,2,282605
Westwood,no,yes,1842,1,1,537654
Santa Monica,no,yes,1579,3,2,754758
Santa Monica,no,yes,2152,2,1,595424
Westwood,no,yes,1650,5,4,523153
Santa Monica,no,yes,2193,4,3,710667
Long Beach,no,no,2006,5,4,599694
Westwood,no,yes,2212,2,1,772137
Long Beach,no,no,2589,5,4,650311
Long Beach,no,yes,1350,2,1,176624
Westwood,no,yes,2291,4,3,1023855
Santa Monica,no,no,1770,3,2,739160
Long Beach,no,yes,1935,2,1,391741
Westwood,no,yes,2340,5,4,735154
Westwood,no,yes,1419,2,1,494818
Long Beach,no,yes,1709,3,2,683284
Santa Monica,no,yes,2377,4,3,769610
Long Beach,yes,no,2516,3,2,626319
Westwood,no,yes,1908,1,1,226951
Westwood,yes,yes,2136,4,3,1045199
Westwood,no,yes,2362,2,1,682839
Westwood,no,yes,2081,1,1,584813
Long Beach,no,no,2400,5,4,404603
Westwood,no,yes,2542,3,2,533623
Westwood,yes,no,2195,3,2,554701
Long Beach,no,yes,2336,5,4,323616
Long Beach,no,yes,1976,3,2,840761
Long Beach,no,no,2244,5,4,520713
Long Beach,no,no,1388,2,1,588038
Long Beach,yes,no,1339,3,2,202098
Santa Monica,no,no,1835,3,2,882172
Long Beach,no,yes,2419,3,2,578030
Long Beach,yes,no,2042,2,1,863272
Long Beach,yes,no,2354,4,3,369426
Westwood,no,yes,1964,3,2,646879
Westwood,no,no,1983,3,2,216097
Long Beach,no,yes,1949,2,1,681055
Long Beach,no,no,1580,4,3,315816
Long Beach,no,no,2718,5,4,936717
Long Beach,no,yes,1384,4,3,529000
Long Beach,no,yes,2317,2,1,490548
Long Beach,yes,no,1722,3,2,210142
Long Beach,no,no,1378,4,3,463800
Santa Monica,no,yes,1847,3,2,550113
Santa Monica,no,yes,1962,2,1,467848
Long Beach,yes,yes,2320,2,1,803724
Santa Monica,no,yes,2189,4,3,671529
Long Beach,no,yes,1923,2,1,519094
Long Beach,yes,yes,1916,1,1,458710
Long Beach,no,no,1935,3,2,779090
Santa Monica,no,yes,2054,5,4,527393
Santa Monica,no,yes,1766,2,1,778358
Long Beach,no,no,1378,4,3,463800
Santa Monica,no,yes,1549,4,3,380674
Long Beach,no,yes,1581,2,1,418728
Santa Monica,no,yes,2225,1,1,721605
Santa Monica,no,yes,2158,3,2,1032536
Long Beach,yes,no,1767,3,2,486610
Westwood,no,yes,2473,1,1,881288
Westwood,no,no,1846,3,2,495542
Westwood,yes,yes,2193,5,4,565210
Long Beach,yes,no,2329,3,2,499874
Westwood,yes,no,1261,3,2,609176
Santa Monica,no,yes,2506,3,2,814142
Long Beach,yes,yes,2049,2,1,276620
Santa Monica,no,yes,2057,1,1,625163
Long Beach,no,yes,2329,2,1,500466
Westwood,no,yes,1608,1,1,898490
Long Beach,no,yes,1414,5,4,668714
Long Beach,no,yes,1918,4,3,284299
Long Beach,yes,yes,2152,5,4,322376
Long Beach,no,yes,2020,5,4,594335
Santa Monica,no,yes,1961,5,4,277493
Long Beach,no,no,2008,2,1,336297
Long Beach,yes,yes,2543,4,3,624171
Westwood,no,no,1800,3,2,553543
Santa Monica,no,yes,1514,2,1,382093
Westwood,yes,yes,1997,4,3,682424
Santa Monica,no,yes,1758,3,2,679314
Westwood,no,yes,2129,2,1,205275
Long Beach,yes,yes,1967,2,1,657335
Long Beach,no,yes,1815,1,1,308109
Santa Monica,no,yes,1935,2,1,775051
Long Beach,no,no,1670,4,3,191223
Long Beach,no,yes,2105,2,1,641078
Westwood,no,yes,1949,4,3,302357
Santa Monica,yes,yes,2774,4,3,901273
Long Beach,no,yes,1866,3,2,383879
Long Beach,yes,yes,2262,4,3,778193
Santa Monica,no,yes,1685,3,2,470022
Long Beach,no,yes,1972,1,1,381104
Long Beach,no,yes,1768,2,1,558085
Santa Monica,no,yes,2474,3,2,797602
Westwood,yes,yes,1900,3,2,1044729
Westwood,no,yes,1525,4,3,175071
Westwood,no,yes,2195,1,1,369938
Santa Monica,no,yes,1531,2,1,721993
Westwood,yes,yes,2114,4,3,1038114
Long Beach,no,yes,2228,1,1,569896
Santa Monica,no,yes,1664,2,1,875158
Long Beach,no,yes,1727,1,1,598380
Long Beach,no,yes,2025,2,1,457681
Long Beach,yes,no,2500,3,2,768415
Long Beach,no,yes,1904,1,1,290576
Westwood,no,yes,1656,2,1,756651
Long Beach,no,yes,1981,5,4,440593
Santa Monica,no,yes,2127,5,4,662374
Westwood,no,yes,1733,1,1,636524
Long Beach,no,yes,2094,4,3,485088
Long Beach,no,yes,2090,5,4,396352
Westwood,yes,no,1594,3,2,494694
Westwood,yes,yes,1935,2,1,870333
Westwood,no,yes,2303,2,1,679268
Santa Monica,no,yes,2417,9,8,579359
Long Beach,no,yes,2068,4,3,194161
Santa Monica,no,yes,2671,3,2,615242
Westwood,no,yes,2044,1,1,740410
Westwood,no,no,1789,6,5,274993
Santa Monica,no,no,2859,6,5,793641
Long Beach,yes,yes,2231,7,6,461927
Westwood,no,no,2564,4,3,1118318
Long Beach,yes,yes,1966,4,3,617254
Long Beach,no,yes,2666,2,1,419931
Long Beach,no,yes,1724,2,1,193199
Westwood,yes,yes,2276,3,2,734374
Long Beach,no,yes,1837,2,1,540999
Santa Monica,no,yes,1924,3,2,879033
Westwood,no,no,2610,2,1,906558
Long Beach,no,yes,1520,1,1,540309
Santa Monica,yes,no,2444,5,4,765594
Long Beach,yes,no,1952,6,5,675943
Long Beach,yes,no,2165,2,1,846533
Long Beach,yes,yes,2077,1,1,582030
Long Beach,no,yes,2045,2,1,289753
Santa Monica,no,no,1795,1,1,774442
Santa Monica,no,yes,1612,3,2,758901
Santa Monica,no,yes,1683,4,3,272831
Westwood,no,yes,1829,2,1,817414
Westwood,yes,no,2365,3,2,854653
Long Beach,no,yes,2580,3,2,768748
Long Beach,no,no,2351,4,3,598343
Long Beach,no,no,2080,4,3,572817
Santa Monica,no,yes,1858,3,2,1008337
Santa Monica,no,yes,2520,3,2,722656
Long Beach,no,yes,1319,2,1,394074
Long Beach,no,yes,2352,4,3,649987
Long Beach,no,yes,2337,4,3,769006
Santa Monica,no,no,2414,3,2,504713
Long Beach,no,yes,1995,5,4,403276
Westwood,yes,yes,1886,3,2,796679
Santa Monica,yes,yes,2086,5,4,885086
Long Beach,yes,yes,1558,2,1,508064
Long Beach,yes,no,2293,3,2,299331
Long Beach,no,yes,2546,3,2,377966
Long Beach,yes,no,2946,1,1,872773
Westwood,no,no,2311,6,5,618602
Long Beach,no,no,1858,3,2,193787
Westwood,yes,no,2546,7,6,1110719
Santa Monica,no,yes,1982,5,4,759242
Long Beach,yes,yes,1648,3,2,778506
Westwood,no,yes,2303,2,1,627260
Westwood,yes,yes,1882,4,3,684023
Westwood,no,yes,1897,3,2,905508
Long Beach,yes,yes,2630,5,4,640183
Long Beach,no,yes,1840,2,1,277982
Santa Monica,no,yes,1722,4,3,598080
Long Beach,no,yes,2355,5,4,347599
Long Beach,no,yes,2779,4,3,532037
Long Beach,no,yes,2699,6,5,718483
Westwood,yes,yes,2325,3,2,618415
Santa Monica,yes,no,1574,3,2,847221
Long Beach,yes,yes,2385,2,1,388821
Santa Monica,no,yes,1599,1,1,899644
Long Beach,yes,yes,1604,1,1,488319
Long Beach,no,yes,2393,3,2,341895
Long Beach,no,yes,1933,2,1,738531
Santa Monica,no,no,1789,4,3,412501
Santa Monica,no,no,1586,1,1,590413
Westwood,yes,yes,1929,2,1,452385
Westwood,no,no,2727,2,1,881858
Westwood,no,yes,2469,1,1,849479
Westwood,no,yes,2212,2,1,772137
Long Beach,no,yes,2455,2,1,547779
Long Beach,no,yes,2440,3,2,404137
Long Beach,no,no,1855,3,2,276469
Long Beach,no,yes,2021,1,1,455843
Santa Monica,no,yes,2175,3,2,798500
Long Beach,no,yes,1704,2,1,91062
Santa Monica,yes,yes,2679,5,4,1326655
Westwood,yes,no,1794,1,1,540816
Santa Monica,no,yes,2308,5,4,731248
Santa Monica,no,yes,1891,2,1,501562
Long Beach,no,yes,1430,2,1,298148
Long Beach,no,no,2618,2,1,905424
Long Beach,no,yes,2206,3,2,579022
Santa Monica,no,yes,1882,2,1,435479
Westwood,no,no,2136,3,2,668146
Long Beach,yes,no,2395,4,3,775231
Long Beach,no,yes,1761,3,2,188040
Santa Monica,no,yes,2165,4,3,838685
Westwood,no,yes,2153,2,1,647098
Long Beach,no,yes,1984,4,3,713530
Santa Monica,no,yes,2442,2,1,637257
Santa Monica,yes,no,1511,1,1,650600
Westwood,no,no,2405,1,1,928665
Long Beach,yes,no,2337,3,2,586494
Long Beach,no,yes,1480,2,1,345814
Long Beach,no,no,1965,1,1,230393
Santa Monica,no,yes,2666,3,2,1060284
Santa Monica,no,yes,2478,6,5,886605
Santa Monica,no,no,2280,4,3,1067108
Long Beach,yes,yes,2059,5,4,309727
Long Beach,no,yes,1458,2,1,189393
Santa Monica,no,yes,1851,4,3,827999
Long Beach,no,yes,1951,3,2,293632
Long Beach,no,no,2361,5,4,686767
Long Beach,yes,no,2830,3,2,660188
Santa Monica,yes,yes,1521,3,2,519448
Long Beach,no,no,1819,4,3,433772
Long Beach,no,yes,1265,1,1,433877
Westwood,no,yes,2264,1,1,392289
Santa Monica,no,no,2261,5,4,1027498
Westwood,no,yes,2072,5,4,361584
Long Beach,no,no,2140,3,2,249698
Long Beach,no,yes,2221,3,2,533223
Westwood,yes,yes,1886,3,2,796679
Long Beach,no,yes,2349,3,2,684021
Long Beach,yes,no,2360,5,4,1089413
Long Beach,no,no,2303,6,5,510789
Santa Monica,no,no,2583,5,4,876463
Long Beach,yes,yes,1400,2,1,273244
Santa Monica,no,yes,1877,3,2,659913
Westwood,yes,yes,2069,4,3,408340
Westwood,no,yes,2770,3,2,775579
Santa Monica,no,yes,2088,2,1,299039
Long Beach,no,no,1627,2,1,415016
Long Beach,yes,yes,2345,4,3,416365
Long Beach,no,yes,2198,2,1,550283
Long Beach,no,yes,2328,5,4,452567
Long Beach,yes,yes,1472,3,2,594595
Long Beach,no,yes,1832,4,3,804839
Long Beach,no,yes,1480,2,1,345814
Long Beach,no,yes,2039,6,5,638849
Westwood,no,yes,1896,2,1,385973
Long Beach,yes,yes,1686,3,2,631837
Santa Monica,no,yes,2152,3,2,471657
Long Beach,yes,yes,2670,4,3,486161
Long Beach,no,yes,1924,3,2,624126
Long Beach,no,yes,2414,7,6,537907
Santa Monica,yes,yes,1379,2,1,421147
Westwood,yes,no,1845,3,2,701029
Westwood,no,yes,1865,5,4,634778
Westwood,no,yes,1967,3,2,561342
Long Beach,no,yes,1732,2,1,215763
Long Beach,no,yes,1679,2,1,213257
Santa Monica,no,no,1739,1,1,561415
Long Beach,yes,yes,1861,5,4,522469
Westwood,no,yes,1849,4,3,748579
Long Beach,no,no,2070,2,1,824240
Santa Monica,no,yes,1791,2,1,832951
Long Beach,no,yes,1898,2,1,258507
Santa Monica,no,yes,2328,2,1,924812
Long Beach,yes,yes,1802,3,2,682159
Santa Monica,no,yes,2105,3,2,1224859
Westwood,no,yes,1855,2,1,408168
Long Beach,no,yes,2245,1,1,249706
Long Beach,no,yes,2091,3,2,486531
Westwood,no,yes,2207,3,2,769489
Santa Monica,no,yes,1912,2,1,635838
Santa Monica,no,yes,2127,5,4,662374
Westwood,yes,yes,1932,1,1,651308
Westwood,no,no,1944,1,1,253477
Long Beach,no,yes,1686,2,1,172885
Long Beach,no,yes,2350,5,4,507222
Long Beach,yes,yes,1958,4,3,510503
Long Beach,no,yes,2119,2,1,569643
Santa Monica,no,yes,1924,4,3,377554
Santa Monica,yes,yes,1931,4,3,574186
Santa Monica,no,no,2448,2,1,847471
Long Beach,no,yes,1429,1,1,380434
Long Beach,yes,yes,2409,4,3,335387
Westwood,no,yes,2299,5,4,904149
Santa Monica,no,yes,1268,1,1,536106
Long Beach,no,yes,2535,3,2,541045
Long Beach,no,no,1646,2,1,297062
Long Beach,yes,no,1891,1,1,525735
Long Beach,no,no,1927,3,2,463779
Long Beach,no,no,2142,1,1,532242
Westwood,yes,yes,2107,3,2,329341
Long Beach,no,yes,1404,1,1,154750
Long Beach,no,yes,1897,4,3,429426
Long Beach,yes,no,2327,5,4,730106
Santa Monica,no,yes,1700,3,2,543480
Long Beach,no,yes,1995,5,4,403276
Long Beach,no,yes,1918,3,2,521267
Long Beach,no,yes,2108,1,1,349351
Westwood,yes,yes,1636,1,1,477754
Westwood,no,yes,1657,1,1,245840
Santa Monica,no,yes,1524,3,2,458057
Long Beach,yes,yes,1790,1,1,530313
Santa Monica,no,yes,2131,2,1,524967
Santa Monica,no,yes,2222,2,1,864185
Long Beach,no,no,2240,4,3,587852
Long Beach,no,yes,1351,2,1,187396
Long Beach,yes,yes,1905,3,2,606104
Westwood,no,yes,1317,4,3,383768
Long Beach,no,no,1592,2,1,507070
Santa Monica,no,yes,1912,2,1,635838
Long Beach,no,yes,2099,4,3,627483
Westwood,no,yes,2127,2,1,675492
Long Beach,no,yes,2140,3,2,536502
Westwood,no,yes,1757,4,3,602739
Westwood,no,no,2050,4,3,864114
Long Beach,yes,no,1897,5,4,204102
Santa Monica,no,yes,1579,3,2,754758
Long Beach,no,yes,1000,1,1,271933
Long Beach,no,yes,2035,3,2,602547
Santa Monica,no,yes,1714,3,2,509988
Santa Monica,no,yes,2118,2,1,715361
Long Beach,no,no,2055,1,1,198838
Long Beach,no,yes,1508,2,1,246149
Long Beach,no,no,1517,2,1,643638
Westwood,no,yes,2291,4,3,1023855
Long Beach,no,yes,1935,4,3,583537
Westwood,no,no,1784,2,1,589949
Long Beach,no,yes,2572,4,3,1102914
Long Beach,no,yes,1830,3,2,725528
Long Beach,no,yes,2414,7,6,537907
Westwood,yes,yes,1968,4,3,790141
Long Beach,no,no,1356,1,1,197331
Santa Monica,no,yes,2258,1,1,920509
Westwood,no,yes,2224,2,1,617474
Long Beach,no,yes,1841,1,1,418756
Westwood,no,yes,1657,1,1,245840
Long Beach,no,no,2144,2,1,581405
Santa Monica,no,no,1952,4,3,741534
Santa Monica,yes,yes,2320,3,2,736673
Long Beach,no,no,2215,3,2,574269
Westwood,no,no,2128,2,1,550681
Westwood,yes,yes,1631,3,2,456341
Westwood,yes,no,1475,1,1,209880
Long Beach,no,yes,1384,4,3,529000
Long Beach,no,yes,1792,4,3,323898
Santa Monica,no,yes,2393,3,2,850572
Long Beach,yes,yes,1840,3,2,752781
Long Beach,no,yes,1271,2,1,280208
Westwood,no,no,2863,5,4,553709
Long Beach,no,no,1740,5,4,666589
Long Beach,no,no,2302,5,4,185460
Long Beach,no,yes,2487,3,2,738765
Long Beach,no,no,2394,3,2,616406
Westwood,no,yes,2467,1,1,585192
Long Beach,no,yes,2724,2,1,793116
Long Beach,no,yes,2346,2,1,882399
Santa Monica,no,no,1937,2,1,340373
Long Beach,no,no,1965,3,2,515513
Westwood,yes,yes,2232,4,3,739077
Santa Monica,no,yes,2134,3,2,828340
Santa Monica,no,yes,2188,4,3,848800
Long Beach,no,no,2360,4,3,719928
Long Beach,no,yes,2926,1,1,219623
Long Beach,no,no,3111,5,4,911175
Westwood,no,yes,2600,3,2,241381
Santa Monica,no,yes,1923,2,1,676027
Westwood,no,yes,1579,4,3,509952
Santa Monica,yes,yes,2039,1,1,865724
Long Beach,no,no,1566,3,2,471788
Westwood,no,yes,1730,2,1,295594
Long Beach,yes,yes,2089,2,1,440545
Westwood,no,no,2193,3,2,700244
Long Beach,no,no,1721,2,1,298518
Long Beach,no,yes,1744,1,1,334061
Westwood,yes,no,2484,3,2,667268
Long Beach,no,no,2736,5,4,575324
Long Beach,no,no,2046,3,2,601113
Santa Monica,no,yes,2435,2,1,1215944
Santa Monica,no,yes,1770,6,5,756827
Long Beach,no,yes,1792,2,1,621526
Santa Monica,no,no,2579,1,1,814334
Long Beach,no,no,2295,3,2,537766
Long Beach,no,yes,2226,2,1,372301
Long Beach,no,no,2451,4,3,783604
Long Beach,no,yes,1695,3,2,454318
Santa Monica,no,no,2151,2,1,1036431
Santa Monica,no,no,1952,4,3,741534
Westwood,no,yes,2210,5,4,505088
Long Beach,no,no,1984,6,5,521581
Santa Monica,no,yes,1649,1,1,518198
Long Beach,no,no,1897,2,1,564942
Long Beach,yes,yes,2386,2,1,748918
Santa Monica,no,yes,1982,3,2,645572
Santa Monica,no,yes,2251,4,3,1291774
Long Beach,no,no,2491,4,3,576305
Westwood,no,yes,2315,5,4,677894
Santa Monica,no,yes,2009,4,3,752468
Long Beach,no,no,1741,4,3,229024
Santa Monica,yes,no,1732,4,3,486076
Long Beach,no,yes,1639,3,2,336477
Santa Monica,no,yes,1863,2,1,739171
Westwood,no,yes,2149,3,2,354153
Westwood,no,yes,1842,1,1,537654
Long Beach,no,yes,1575,4,3,267185
Santa Monica,no,yes,1565,3,2,370368
Santa Monica,no,yes,1968,2,1,830100
Long Beach,yes,yes,1846,4,3,840698
Long Beach,no,no,1938,3,2,804891
Long Beach,no,yes,1983,2,1,477218
Long Beach,no,yes,2328,3,2,250246
Long Beach,yes,yes,2356,1,1,724519
Long Beach,yes,yes,2450,2,1,750042
Long Beach,no,yes,2600,3,2,429143
Santa Monica,no,yes,1567,1,1,821544
Westwood,no,yes,2195,4,3,650772
Long Beach,yes,no,2655,5,4,262934
Long Beach,yes,yes,1954,3,2,855746
Santa Monica,no,no,1582,3,2,608020
Santa Monica,no,no,2360,2,1,704749
Westwood,yes,yes,2221,1,1,500349
Long Beach,no,yes,2084,1,1,364298
Long Beach,no,yes,1739,1,1,193120
Long Beach,yes,no,2249,5,4,631094
